Name,Slug,Category,Reference to taxonomy,Definition,Evidence / Research,Source,Confidence,Potential value,Value type,Operational/ROI impact,Good example,Bad example,Enterprise insurance application,OGI user considerations,Potential metrics/signals,Checklist prompt,Number
Default values,default-values,Forms & workflow design,Forms & workflow design,"Default values is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies default values deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores default values, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate default values without unnecessary confusion, friction or risk?",43
Review before submission,review-before-submission,Forms & workflow design,Forms & workflow design,"Review before submission is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies review before submission deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores review before submission, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate review before submission without unnecessary confusion, friction or risk?",44
Data persistence,data-persistence,Forms & workflow design,Forms & workflow design,"Data persistence is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies data persistence deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores data persistence, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate data persistence without unnecessary confusion, friction or risk?",45
Progressive disclosure,progressive-disclosure,Forms & workflow design,Forms & workflow design,"Progressive disclosure is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies progressive disclosure deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores progressive disclosure, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate progressive disclosure without unnecessary confusion, friction or risk?",46
Conditional logic clarity,conditional-logic-clarity,Forms & workflow design,Forms & workflow design,"Conditional logic clarity is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies conditional logic clarity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores conditional logic clarity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate conditional logic clarity without unnecessary confusion, friction or risk?",47
Confirmation patterns,confirmation-patterns,Forms & workflow design,Forms & workflow design,"Confirmation patterns is an experience quality consideration within forms & workflow design that affects how users understand, navigate or complete work.","Clear forms and validation reduce failed submissions, user hesitation and support demand. Ecommerce evidence should be used directionally for quote-and-buy only.","GOV.UK Design System, Baymard, WCAG",Medium-High,"Fewer failed submissions, fewer data-entry errors and reduced rework.",Direct ROI + Risk Reduction,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies confirmation patterns deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores confirmation patterns, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","field error rate, failed submissions, correction time, drop-off points.","Can a user complete this workflow with appropriate confirmation patterns without unnecessary confusion, friction or risk?",48
Colour contrast,colour-contrast,Accessibility & inclusive design,Accessibility & inclusive design,"Colour contrast is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Warnings, statuses and data tables meet accessible contrast expectations and remain readable in all states.",Important underwriting warnings use faint grey text or colour-only cues.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate colour contrast without unnecessary confusion, friction or risk?",49
Keyboard navigation,keyboard-navigation,Accessibility & inclusive design,Accessibility & inclusive design,"Keyboard navigation is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.",Power users can move through common servicing tasks using keyboard navigation and shortcuts.,"Every action requires mouse navigation through repeated menus, reducing speed and increasing fatigue.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate keyboard navigation without unnecessary confusion, friction or risk?",50
Focus visibility,focus-visibility,Accessibility & inclusive design,Accessibility & inclusive design,"Focus visibility is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies focus visibility deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores focus visibility, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate focus visibility without unnecessary confusion, friction or risk?",51
Touch target sizing,touch-target-sizing,Accessibility & inclusive design,Accessibility & inclusive design,"Touch target sizing is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies touch target sizing deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores touch target sizing, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate touch target sizing without unnecessary confusion, friction or risk?",52
Labels and instructions,labels-and-instructions,Accessibility & inclusive design,Accessibility & inclusive design,"Labels and instructions is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies labels and instructions deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores labels and instructions, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate labels and instructions without unnecessary confusion, friction or risk?",53
Screen reader structure,screen-reader-structure,Accessibility & inclusive design,Accessibility & inclusive design,"Screen reader structure is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies screen reader structure deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores screen reader structure, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate screen reader structure without unnecessary confusion, friction or risk?",54
Accessible authentication,accessible-authentication,Accessibility & inclusive design,Accessibility & inclusive design,"Accessible authentication is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies accessible authentication deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores accessible authentication, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate accessible authentication without unnecessary confusion, friction or risk?",55
Zoom and scaling,zoom-and-scaling,Accessibility & inclusive design,Accessibility & inclusive design,"Zoom and scaling is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies zoom and scaling deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores zoom and scaling, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate zoom and scaling without unnecessary confusion, friction or risk?",56
Cognitive accessibility,cognitive-accessibility,Accessibility & inclusive design,Accessibility & inclusive design,"Cognitive accessibility is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies cognitive accessibility deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores cognitive accessibility, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate cognitive accessibility without unnecessary confusion, friction or risk?",57
Motion sensitivity,motion-sensitivity,Accessibility & inclusive design,Accessibility & inclusive design,"Motion sensitivity is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies motion sensitivity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores motion sensitivity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate motion sensitivity without unnecessary confusion, friction or risk?",58
Colour-independent meaning,colour-independent-meaning,Accessibility & inclusive design,Accessibility & inclusive design,"Colour-independent meaning is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies colour-independent meaning deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores colour-independent meaning, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate colour-independent meaning without unnecessary confusion, friction or risk?",59
Accessible error identification,accessible-error-identification,Accessibility & inclusive design,Accessibility & inclusive design,"Accessible error identification is an experience quality consideration within accessibility & inclusive design that affects how users understand, navigate or complete work.","Accessibility defects create usability barriers and risk. WebAIM 2026 highlights how common basic failures such as contrast, labels and empty controls remain.",WCAG/W3C and WebAIM,High,"Reduced accessibility risk, broader usability and fewer avoidable barriers.",Risk Reduction + Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies accessible error identification deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores accessible error identification, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","accessibility audit findings, keyboard completion, contrast failures, screen reader issues.","Can a user complete this workflow with appropriate accessible error identification without unnecessary confusion, friction or risk?",60
Visual hierarchy,visual-hierarchy,Visual hierarchy & composition,Visual hierarchy & composition,"Visual hierarchy is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies visual hierarchy deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores visual hierarchy, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate visual hierarchy without unnecessary confusion, friction or risk?",61
Whitespace,whitespace,Visual hierarchy & composition,Visual hierarchy & composition,"Whitespace is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Whitespace is used to improve grouping, hierarchy and scanability while preserving efficient access to dense operational data.","Consumer-style spacing hides key policy information, increases scrolling and slows experienced PAS users.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate whitespace without unnecessary confusion, friction or risk?",62
Alignment,alignment,Visual hierarchy & composition,Visual hierarchy & composition,"Alignment is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies alignment deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores alignment, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate alignment without unnecessary confusion, friction or risk?",63
Proximity,proximity,Visual hierarchy & composition,Visual hierarchy & composition,"Proximity is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies proximity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores proximity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate proximity without unnecessary confusion, friction or risk?",64
Gestalt grouping,gestalt-grouping,Visual hierarchy & composition,Visual hierarchy & composition,"Gestalt grouping is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies gestalt grouping deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores gestalt grouping, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate gestalt grouping without unnecessary confusion, friction or risk?",65
Grid systems,grid-systems,Visual hierarchy & composition,Visual hierarchy & composition,"Grid systems is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies grid systems deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores grid systems, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate grid systems without unnecessary confusion, friction or risk?",66
Contrast hierarchy,contrast-hierarchy,Visual hierarchy & composition,Visual hierarchy & composition,"Contrast hierarchy is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Warnings, statuses and data tables meet accessible contrast expectations and remain readable in all states.",Important underwriting warnings use faint grey text or colour-only cues.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate contrast hierarchy without unnecessary confusion, friction or risk?",67
Content prioritisation,content-prioritisation,Visual hierarchy & composition,Visual hierarchy & composition,"Content prioritisation is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies content prioritisation deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores content prioritisation, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate content prioritisation without unnecessary confusion, friction or risk?",68
Dominance,dominance,Visual hierarchy & composition,Visual hierarchy & composition,"Dominance is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies dominance deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores dominance, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate dominance without unnecessary confusion, friction or risk?",69
Scannability,scannability,Visual hierarchy & composition,Visual hierarchy & composition,"Scannability is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies scannability deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores scannability, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate scannability without unnecessary confusion, friction or risk?",70
Information density,information-density,Visual hierarchy & composition,Visual hierarchy & composition,"Information density is an experience quality consideration within visual hierarchy & composition that affects how users understand, navigate or complete work.","Hierarchy, grouping and layout affect what users notice, understand and act on.","Visual perception, Gestalt and usability research",Medium-High,"Faster comprehension, clearer hierarchy and more confident product perception.",Experience Quality,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies information density deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores information density, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate information density without unnecessary confusion, friction or risk?",71
